date,total_revenue,cost_of_revenue,gross_profit,premium_revenue,premium_cost,premium_gross_profit,ad_revenue,ad_cost,ad_gross_profit,maus,premium_maus,ad_maus,premium_arpu,sales_marketing_cost,r_and_d_cost,g_and_a_cost,Premium Margin (%),Ad Margin (%),Premium Revenue YoY Growth (%),MAUs YoY Growth (%),premium_revenue_diff,maus_diff,premium_maus_diff,premium_arpu_diff,r_and_d_cost_diff
2016-12-31,,,,,,,,,,,,,6.0,,,,,,,,,,,,
2017-03-31,902.0,797.0,105.0,828.0,710.0,118.0,74.0,87.0,-13.0,131.0,52.0,82.0,5.46,110.0,80.0,54.0,14.251207729468598,-17.56756756756757,,,,,,-0.54,
2017-06-30,1007.0,775.0,232.0,904.0,686.0,218.0,103.0,89.0,14.0,138.0,59.0,83.0,5.53,146.0,95.0,70.0,24.11504424778761,13.592233009708737,,,76.0,7.0,7.0,0.07000000000000028,15.0
2017-09-30,1032.0,802.0,230.0,923.0,711.0,212.0,109.0,91.0,18.0,150.0,62.0,91.0,5.06,138.0,98.0,67.0,22.968580715059588,16.51376146788991,,,19.0,12.0,3.0,-0.47000000000000064,3.0
2017-12-31,1449.0,867.0,582.0,1018.0,761.0,257.0,130.0,106.0,24.0,160.0,71.0,93.0,5.24,173.0,123.0,73.0,25.245579567779963,18.461538461538463,,,95.0,10.0,9.0,0.1800000000000006,25.0
2018-03-31,1139.0,856.0,283.0,1037.0,767.0,270.0,102.0,89.0,13.0,170.0,75.0,99.0,4.72,138.0,115.0,71.0,26.036644165863066,12.745098039215685,25.24154589371981,29.77099236641221,19.0,10.0,4.0,-0.5200000000000005,-8.0
2018-06-30,1273.0,944.0,329.0,1150.0,841.0,309.0,123.0,103.0,20.0,180.0,83.0,101.0,4.89,173.0,143.0,103.0,26.869565217391305,16.260162601626014,27.212389380530965,30.434782608695656,113.0,10.0,8.0,0.16999999999999993,28.0
2018-09-30,1352.0,1010.0,342.0,1210.0,894.0,316.0,142.0,116.0,26.0,191.0,87.0,109.0,4.73,146.0,135.0,67.0,26.115702479338843,18.30985915492958,31.09425785482123,27.333333333333343,60.0,11.0,4.0,-0.15999999999999925,-8.0
2018-12-31,1495.0,1096.0,399.0,1320.0,959.0,361.0,175.0,147.0,28.0,207.0,96.0,116.0,4.89,163.0,100.0,42.0,27.34848484848485,16.0,29.666011787819247,29.374999999999996,110.0,16.0,9.0,0.15999999999999925,-35.0
2019-03-31,1511.0,1138.0,373.0,1385.0,1023.0,362.0,126.0,115.0,11.0,217.0,100.0,123.0,4.71,172.0,155.0,93.0,26.137184115523464,8.73015873015873,33.55834136933462,27.647058823529402,65.0,10.0,4.0,-0.17999999999999972,55.0
2019-06-30,1667.0,1233.0,434.0,1502.0,1089.0,413.0,165.0,144.0,21.0,232.0,108.0,129.0,4.86,200.0,151.0,86.0,27.496671105193077,12.727272727272727,30.60869565217392,28.888888888888896,117.0,15.0,8.0,0.15000000000000036,-4.0
2019-09-30,1731.0,1290.0,441.0,1561.0,1142.0,419.0,170.0,148.0,22.0,248.0,113.0,141.0,4.67,178.0,136.0,73.0,26.841768097373482,12.941176470588237,29.00826446280991,29.84293193717278,59.0,16.0,5.0,-0.1900000000000004,-15.0
2019-12-31,1855.0,1381.0,474.0,1638.0,1189.0,449.0,217.0,192.0,25.0,271.0,124.0,153.0,4.65,276.0,173.0,102.0,27.411477411477414,11.52073732718894,24.090909090909097,30.917874396135268,77.0,23.0,11.0,-0.019999999999999574,37.0
2020-03-31,1848.0,1376.0,472.0,1700.0,1219.0,481.0,148.0,157.0,-9.0,286.0,130.0,163.0,4.42,231.0,162.0,96.0,28.294117647058826,-6.081081081081082,22.743682310469303,31.79723502304148,62.0,15.0,6.0,-0.23000000000000043,-11.0
2020-06-30,1889.0,1410.0,479.0,1758.0,1263.0,495.0,131.0,147.0,-16.0,299.0,138.0,170.0,4.41,248.0,267.0,131.0,28.15699658703072,-12.213740458015266,17.043941411451403,28.87931034482758,58.0,13.0,8.0,-0.009999999999999787,105.0
2020-09-30,1975.0,1486.0,489.0,1790.0,1302.0,488.0,185.0,184.0,1.0,320.0,144.0,185.0,4.19,256.0,176.0,97.0,27.262569832402235,0.5405405405405406,14.670083279948742,29.032258064516125,32.0,21.0,6.0,-0.21999999999999975,-91.0
2020-12-31,2168.0,1593.0,575.0,1887.0,1342.0,545.0,281.0,251.0,30.0,345.0,155.0,199.0,4.26,294.0,232.0,118.0,28.881822999470057,10.676156583629894,15.201465201465192,27.306273062730636,97.0,25.0,11.0,0.0699999999999994,56.0
2021-03-31,2147.0,1599.0,548.0,1931.0,1393.0,538.0,216.0,206.0,10.0,356.0,158.0,208.0,4.12,236.0,196.0,102.0,27.861211807353705,4.62962962962963,13.588235294117656,24.47552447552448,44.0,11.0,3.0,-0.13999999999999968,-36.0
2021-06-30,2331.0,1668.0,663.0,2056.0,1423.0,633.0,275.0,245.0,30.0,365.0,165.0,210.0,4.29,279.0,255.0,117.0,30.787937743190664,10.909090909090908,16.951080773606364,22.073578595317734,125.0,9.0,7.0,0.16999999999999993,59.0
2021-09-30,2501.0,1833.0,668.0,2178.0,1545.0,633.0,323.0,288.0,35.0,381.0,172.0,220.0,4.34,280.0,208.0,105.0,29.0633608815427,10.8359133126935,21.675977653631296,19.062500000000004,122.0,16.0,7.0,0.04999999999999982,-47.0
2021-12-31,2689.0,1977.0,712.0,2295.0,1625.0,670.0,394.0,352.0,42.0,406.0,180.0,236.0,4.4,340.0,253.0,126.0,29.193899782135073,10.65989847715736,21.62162162162162,17.68115942028985,117.0,25.0,8.0,0.0600000000000005,45.0
2022-03-31,2661.0,1990.0,671.0,2379.0,1704.0,675.0,282.0,286.0,-4.0,422.0,182.0,252.0,4.38,296.0,250.0,131.0,28.373266078184113,-1.4184397163120568,23.20041429311237,18.53932584269662,84.0,16.0,2.0,-0.020000000000000462,-3.0
2022-06-30,2864.0,2160.0,704.0,2504.0,1804.0,700.0,360.0,356.0,4.0,433.0,188.0,265.0,4.54,391.0,336.0,171.0,27.95527156549521,1.1111111111111112,21.78988326848248,18.63013698630136,125.0,11.0,6.0,0.16000000000000014,86.0
2022-09-30,3036.0,2286.0,750.0,2651.0,1908.0,743.0,385.0,378.0,7.0,456.0,195.0,273.0,4.63,432.0,386.0,160.0,28.027159562429272,1.8181818181818181,21.717171717171713,19.685039370078748,147.0,23.0,7.0,0.08999999999999986,50.0
2022-12-31,3166.0,2365.0,801.0,2717.0,1939.0,778.0,449.0,426.0,23.0,489.0,205.0,295.0,4.55,453.0,415.0,164.0,28.63452337136548,5.122494432071269,18.387799564270146,20.443349753694573,66.0,33.0,10.0,-0.08000000000000007,29.0
2023-03-31,3042.0,2276.0,776.0,2713.0,1937.0,776.0,329.0,339.0,-10.0,515.0,210.0,317.0,4.32,347.0,435.0,140.0,28.603022484334684,-3.0395136778115504,14.039512400168142,22.03791469194314,-4.0,26.0,5.0,-0.22999999999999954,20.0
